file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,92,0.2208,0.7532,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,93,0.2208,0.7463,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,94,0.2208,0.7542,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,95,0.2208,0.7572,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,96,0.2209,0.7323,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,97,0.2209,0.7512,0.7857,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,98,0.2209,0.6244,0.5893,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,99,0.2209,0.7473,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,100,0.2209,0.7662,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,101,0.221,0.7502,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,102,0.221,0.7582,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,103,0.2211,0.7403,0.6875,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,104,0.221,0.7113,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,105,0.2211,0.7572,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,106,0.2211,0.7413,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,107,0.2212,0.7622,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,108,0.2212,0.7662,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,109,0.2212,0.7652,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,110,0.2213,0.7662,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,111,0.2213,0.7283,0.6875,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,112,0.2213,0.7233,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,113,0.2214,0.7253,0.6607,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,114,0.2214,0.7582,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,115,0.2215,0.7103,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,116,0.2215,0.7562,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,117,0.2215,0.7532,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,118,0.2215,0.7622,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,119,0.2215,0.6913,0.6339,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,120,0.2216,0.7542,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,121,0.2216,0.7612,0.7857,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,122,0.2216,0.7493,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,123,0.2216,0.7642,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,124,0.2216,0.7592,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,125,0.2216,0.7363,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
